TOTAL XYZ KEYS: 218
XYZ SYMBOL: xyz:QCOM NtlVlm: 689500.6902000001
XYZ SYMBOL: xyz:STRC NtlVlm: 512471.5393999998
XYZ SYMBOL: xyz:BOT NtlVlm: 2296495.1924200002
XYZ SYMBOL: xyz:AMAT NtlVlm: 671064.0732300002
XYZ SYMBOL: xyz:IBIDEN NtlVlm: 0.0
XYZ SYMBOL: xyz:GIGADEV NtlVlm: 393220.3842799999
XYZ SYMBOL: xyz:SHAZ NtlVlm: 1435668.9240899999
XYZ SYMBOL: xyz:SKHY NtlVlm: 73749424.8953999877
XYZ SYMBOL: xyz:KSTR NtlVlm: 0.0
XYZ SYMBOL: xyz:CXMT NtlVlm: 14106201.3022799902
XYZ SYMBOL: xyz:GEV NtlVlm: 8340.47679
XYZ SYMBOL: xyz:KORU NtlVlm: 2063207.9454999994
XYZ SYMBOL: xyz:UNITREE NtlVlm: 2511044.6889399989
XYZ SYMBOL: xyz:LYTE NtlVlm: 528751.5662099996
XYZ SYMBOL: xyz:NCLD NtlVlm: 112306.84661
XYZ SYMBOL: xyz:SOXL NtlVlm: 10796578.8948999979
XYZ SYMBOL: xyz:MAGS NtlVlm: 0.0
