=== xyz:XYZ100 === LONG: RECHAZADO ['Sin snapshot de microestructura en Hyperliquid (xyz:XYZ100)'] | SHORT: RECHAZADO ['Sin snapshot de microestructura en Hyperliquid (xyz:XYZ100)']
=== xyz:TSLA === LONG: RECHAZADO ['Sin snapshot de microestructura en Hyperliquid (xyz:TSLA)'] | SHORT: RECHAZADO ['Sin snapshot de microestructura en Hyperliquid (xyz:TSLA)']
=== xyz:NVDA === LONG: RECHAZADO ['Precio 1H bajo media móvil EMA21 ($217.74 <= $218.89)', 'Riesgo de Liquidación prematura (Liq: $197.05 vs SL: $206.85)'] | SHORT: RECHAZADO ['Tendencia Macro 1D no bajista (Close $217.75 sobre EMA21 $212.14 o EMA50 $208.22)', 'RSI 1H insuficiente para Short (37.4 <= 65 sin volumen 1.8x SMA20)', 'MACD 1H Histograma en aumento alcista (-0.06, delta 0.01)', 'Bloqueo Soporte < 5.0% (0.58%)', 'Riesgo de Liquidación prematura (Liq: $238.43 vs SL: $228.63)']
=== xyz:GOLD === LONG: RECHAZADO ['Precio 1H bajo media móvil EMA21 ($4371.55 <= $4379.19)', 'Riesgo de Liquidación prematura (Liq: $4025.47 vs SL: $4152.97)'] | SHORT: RECHAZADO ['Tendencia Macro 1D no bajista (Close $4371.50 sobre EMA21 $4203.22 o EMA50 $4181.32)', 'RSI 1H insuficiente para Short (46.1 <= 65 sin volumen 1.8x SMA20)', 'MACD 1H Histograma en aumento alcista (-3.26, delta 0.24)', 'Bloqueo Soporte < 5.0% (0.64%)', 'Riesgo de Liquidación prematura (Liq: $4717.63 vs SL: $4590.13)']
=== xyz:SILVER === LONG: RECHAZADO ['Tendencia Macro 1D no alcista (Close $64.74 bajo EMA21 $61.16 o EMA50 $61.60)', 'Precio 1H bajo media móvil EMA21 ($64.74 <= $64.91)', 'RSI 1H sin pendiente ascendente confirmada (46.3, Delta t-1 -0.5, live Delta -0.0)', 'Riesgo de Liquidación prematura (Liq: $59.62 vs SL: $61.51)'] | SHORT: RECHAZADO ['Datos OHLCV 1H insuficientes']
=== xyz:GOOGL === LONG: RECHAZADO ['Datos OHLCV 1H insuficientes'] | SHORT: RECHAZADO ['Datos OHLCV 1H insuficientes']
=== xyz:AMZN === LONG: RECHAZADO ['Datos OHLCV 1H insuficientes'] | SHORT: RECHAZADO ['Datos OHLCV 1H insuficientes']
=== xyz:AAPL === LONG: RECHAZADO ['Precio 1H bajo media móvil EMA21 ($304.90 <= $306.91)', 'Bloqueo Resistencia < 5.0% (1.61%)', 'Riesgo de Liquidación prematura (Liq: $275.94 vs SL: $289.66)'] | SHORT: RECHAZADO ['Tendencia Macro 1D no bajista (Close $304.92 sobre EMA21 $314.63 o EMA50 $312.82)', 'RSI 1H insuficiente para Short (31.4 <= 65 sin volumen 1.8x SMA20)', 'MACD 1H Histograma en aumento alcista (-0.25, delta 0.03)', 'Riesgo de Liquidación prematura (Liq: $333.90 vs SL: $320.18)']
=== xyz:MSFT === LONG: RECHAZADO ['Precio 1H bajo media móvil EMA21 ($502.85 <= $503.56)', 'RSI 1H sin pendiente ascendente confirmada (47.3, Delta t-1 -3.6, live Delta 0.8)', 'Bloqueo Resistencia < 5.0% (1.56%)', 'Riesgo de Liquidación prematura (Liq: $455.08 vs SL: $477.71)'] | SHORT: RECHAZADO ['Tendencia Macro 1D no bajista (Close $502.63 sobre EMA21 $461.94 o EMA50 $431.17)', 'RSI 1H insuficiente para Short (47.2 <= 65 sin volumen 1.8x SMA20)', 'MACD 1H Histograma en aumento alcista (-0.22, delta 0.04)', 'Bloqueo Soporte < 5.0% (0.68%)', 'Riesgo de Liquidación prematura (Liq: $550.58 vs SL: $527.95)']
=== xyz:META === LONG: RECHAZADO ['Tendencia Macro 1D no alcista (Close $600.03 bajo EMA21 $593.04 o EMA50 $598.88)', 'Precio 1H bajo media móvil EMA21 ($599.98 <= $600.00)', 'MACD 1H Histograma en caída/deterioro (-0.14, delta -0.19)', 'Bloqueo Resistencia < 5.0% (2.12%)', 'Riesgo de Liquidación prematura (Liq: $542.98 vs SL: $569.98)'] | SHORT: RECHAZADO ['Datos OHLCV 1H insuficientes']
